Region,District,FacilityName,Type,Town,Ownership,Latitude,Longitude
Ashanti,Kumasi Metropolitan,Peace Land Clinic,Clinic,South Suntreso,Private,6.690020,-1.640390
Ashanti,Kumasi Metropolitan,Pima Clinic,Clinic,Buokrom Estate,Private,6.746610,-1.592420
Ashanti,Kumasi Metropolitan,Poku Transport Hospital,Hospital,Asokwa,Private,6.672890,-1.601810
Ashanti,Kumasi Metropolitan,Police Clinic,Clinic,Adum,Quasi-Government,6.694020,-1.627020
Ashanti,Kumasi Metropolitan,PPAG Clinic,Clinic,New Suame,Private,6.717890,-1.636740
Ashanti,Kumasi Metropolitan,PPAG Teen's Centre,Clinic,Oforikrom,Private,6.688050,-1.592410
Ashanti,Kumasi Metropolitan,Prince of Peace Clinic,Clinic,Aboabo,Private,6.699150,-1.600020
Ashanti,Kumasi Metropolitan,Quality Health Care Ltd.,Hospital,Kentinkrono,Private,6.696540,-1.552160
Ashanti,Kumasi Metropolitan,Queen of Peace Maternity Home,Maternity Home,Adoato,Private,6.709810,-1.641480
Ashanti,Kumasi Metropolitan,Queen Victory Maternity Home,Maternity Home,Anloga,Private,6.679080,-1.592080
Ashanti,Kumasi Metropolitan,Queens Hospital,Hospital,Dompoase,Private,6.636570,-1.588180
Ashanti,Kumasi Metropolitan,Rabito Clinic,Clinic,Adum,Private,6.692980,-1.622670
Ashanti,Kumasi Metropolitan,Railway Clinic,Clinic,Railways Adum,Quasi-Government,6.691960,-1.619260
Ashanti,Kumasi Metropolitan,Rophi Hospital,Hospital,Old Tafo,Private,6.730260,-1.612040
Ashanti,Kumasi Metropolitan,Rophii Hospital,Clinic,Akwatialine,Private,6.695040,-1.611930
Ashanti,Kumasi Metropolitan,Rucky Memorial Maternity Clinic,Maternity Home,Sawaba,Private,6.702270,-1.580910
Ashanti,Kumasi Metropolitan,Russia Clinic,Clinic,Moshie Zongo,Private,6.726090,-1.606330
Ashanti,Kumasi Metropolitan,Safo Adu Hosptal,Hospital,Manhyia,Private,6.703010,-1.613710
Ashanti,Kumasi Metropolitan,Sedom Clinic,Clinic,Bantama,Private,6.702860,-1.633730
Ashanti,Kumasi Metropolitan,Sepe Dote Clinic,Clinic,Sepe Dote,Private,6.719140,-1.579170
Ashanti,Kumasi Metropolitan,Sepe-Buokrom Community Clinic,Clinic,Buokrom,Government,6.721180,-1.595930
Ashanti,Kumasi Metropolitan,Shalom Maternity Home,Maternity Home,Pankrono,Private,6.751720,-1.605180
Ashanti,Kumasi Metropolitan,Siaw Larbi Hospital,Hospital,Mile 4 - Tafo,Private,6.741960,-1.613040
Ashanti,Kumasi Metropolitan,Siloam Hospital,Hospital,Kwadaso,Private,6.700080,-1.661150
Ashanti,Kumasi Metropolitan,Sir Gibrine Memorial Clinic,Clinic,Asawase,Private,6.701380,-1.604670
Ashanti,Kumasi Metropolitan,Sir Gibrinnes Clinic,Clinic,Akrome,Private,6.707980,-1.579890
Ashanti,Kumasi Metropolitan,Sir Gilbrenes Memorial Health Centre,Clinic,Sepe-Tinpom,Private,6.707980,-1.579890
Ashanti,Kumasi Metropolitan,SOS Home Clinic,Clinic,New Suame,Private,6.713520,-1.630550
Ashanti,Kumasi Metropolitan,St. Annes Clinic,Clinic,Atonsu,Private,6.648860,-1.592090
Ashanti,Kumasi Metropolitan,St. Anthony Hospital,Hospital,Asuogya,Private,6.726420,-1.645310
Ashanti,Kumasi Metropolitan,St. Edward Clinic,Clinic,Amakom,Private,6.689720,-1.610090
Ashanti,Kumasi Metropolitan,St. Helena Maternity Home,Maternity Home,Anwiam,Private,6.693520,-1.547220
Ashanti,Kumasi Metropolitan,St. John's Clinic,Clinic,Old Tafo,Private,6.729120,-1.616430
Ashanti,Kumasi Metropolitan,St. Joseph Clinic,Clinic,Krofrom,Private,6.715710,-1.614720
Ashanti,Kumasi Metropolitan,St. Marku's Hospital,Hospital,Asokwa,Private,6.670220,-1.600130
Ashanti,Kumasi Metropolitan,St. Paul's Clinic,Clinic,Tafo Zongo,Private,6.734840,-1.609670
Ashanti,Kumasi Metropolitan,Stadium Clinic,Clinic,Amakom,Private,6.634870,-1.605360
Ashanti,Kumasi Metropolitan,Suame Hospital,Clinic,Old Tafo,Private,6.734020,-1.613160
Ashanti,Kumasi Metropolitan,Sunkwa Clinic,Clinic,Anloga,Private,6.678020,-1.592450
Ashanti,Kumasi Metropolitan,Suntreso Government Hospital,Hospital,Suntreso,Government,6.702430,-1.642230
Ashanti,Kumasi Metropolitan,Tafo Government Hospital,Hospital,Tafo,Government,6.725540,-1.613170
Ashanti,Kumasi Metropolitan,Tafo Nhyiaeso Homeopatic Clinic,Clinic,Tafo Nhyiaeso,Private,6.718520,-1.611750
Ashanti,Kumasi Metropolitan,The Word Maternity Home,Maternity Home,Mile 4- Old Tafo,Private,6.736290,-1.611890
Ashanti,Kumasi Metropolitan,Tinkwama Maternity Home,Maternity Home,Asuogya,Private,6.725160,-1.644190
Ashanti,Kumasi Metropolitan,Trust Care Specialist Hospital,Hospital,South Suntreso,Private,6.690420,-1.639790
Ashanti,Kumasi Metropolitan,Turkson Memorial Maternity Home,Maternity Home,Old Suame,Private,6.716130,-1.629770
Ashanti,Kumasi Metropolitan,Twumasi Memorial Hospital,Hospital,Asokwa,Private,6.671570,-1.604890
Ashanti,Kumasi Metropolitan,VAG Clinic,Clinic,Manhyia,Private,6.701210,-1.612490
Ashanti,Kumasi Metropolitan,Vibro Maternity Home and Clinic,Maternity Home,Anwomase-Bebre,Private,6.696090,-1.531270
Ashanti,Kumasi Metropolitan,Victory Clinic and Maternity Home,Maternity Home,Ayigya,Private,6.688060,-1.575890
Ashanti,Kumasi Metropolitan,Vincent Clinic,Clinic,Abed-Pankrono,Private,6.753150,-1.612930
Ashanti,Kumasi Metropolitan,Washie Hospital,Hospital,Ahodwo Kumasi,Private,6.652630,-1.619210
Ashanti,Kumasi Metropolitan,Washington Clinic,Clinic,Old Tafo,Private,6.728680,-1.612370
Ashanti,Kumasi Metropolitan,Wesley Cathederal Clinic,Clinic,Adum,CHAG,6.693620,-1.623250
Ashanti,Kumasi Metropolitan,Wilben Dental Clinic,Hospital,Dr. Mensah - Ash Town,Private,6.700130,-1.619510
Ashanti,Kumasi Metropolitan,Wisdom Hospital,Hospital,Dichemso,Private,6.708750,-1.610560
Ashanti,Kumasi Metropolitan,Yeji Medical Clinic,Clinic,Bremang,Private,6.740850,-1.640220
Ashanti,Kumasi Metropolitan,Yentumi Boitey Memorial Clinic,Clinic,Susanso,Private,6.686840,-1.585010
Ashanti,Kumasi Metropolitan,Zion Hill Clinic,Clinic,Zone 5 - Suame,Private,6.722670,-1.631070
Ashanti,Kumasi Metropolitan,Zongo Hill Clinic,Clinic,Manhyia Zongo,Private,6.700430,-1.613710
Ashanti,Kumasi Metropolitan,Kumasi Nurses/Midwifery Training School,Training Institution,Kumasi,Government,6.414800,-1.375070
Ashanti,Kumasi Metropolitan,Kwadaso Nurses Training College,Training Institution,Kwadaso,Government,6.414800,-1.375070
Ashanti,Kumasi Metropolitan,Kumasi Ear Nose & Throat,Training Institution,Kumasi,Government,6.414800,-1.375070
Ashanti,Kumasi Metropolitan,Kumasi Anasthesia,Training Institution,Kumasi,Government,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Premier Nursing School (General Nursing),Training Institution,Kumasi,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Asawasi Boakye Dunkwa Hospital,Hospital,Asawasi,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Effah Hospital,Hospital,Buokrom Estate,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Moshie Zongo Russia Clinic,Clinic,Moshie Zongo,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Ashanti Town Clinic,Clinic,Ashanti Town,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Asawasi Nyame Ye Maternity Home,Maternity Home,Asawasi,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Allen Hospital,Hospital,Dichemso,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Ghana Legion Clinic,Clinic,New Zongo,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,New Asawasi Clinic,Clinic,Asawasi,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Bomso Clinic,Clinic,Bomso,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Muslim Homeopathic Clinic,Clinic,Boadi,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Allen's Clinic,Clinic,Ahensan,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Ayigya Clinic,Clinic,Ayigya,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Born Again Homeopathic,Clinic,Adukrom,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Homeopathic Clinic,Clinic,Nsene,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Maud Maternity Home,Maternity Home,Ahensan,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Amansie Enterprise Clinic,Clinic,,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,John Bitar Company Clinic,Clinic,Ahensan,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Bosomtwi Clinic,Clinic,Aboabo Akorem,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Atonsu-Agogo Clinic,Clinic,Anloga,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Abrepo County Hospital,Hospital,Abrepo,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,West End Clinic,Clinic,Patasi,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,SDA Hospital,Hospital,Kwadaso,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Prempeh College Clinic,Clinic,Prempeh Compus,Government,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Patasi Suame Nkwanta Hospital,Hospital,Patasi,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Asafo Agyei Hospital,Hospital,Daaban,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Magazine Clinic,Clinic,Danyame,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Togbe Clinic,Clinic,Adiembra,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Mary Pomaa Memorial Clinic,Clinic,Odeneho Kwadaso,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Robert Khock Health Services,Clinic,Bantama,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Adiebeba Hospital,Hospital,Adiebeba,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Ahodwo Clinic,Clinic,Ahodwo,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Ahodwo Washie Hospital,Hospital,Ahodwo,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Philip Maternity Home,Maternity Home,Tanoso,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Hebrona Hospital,Hospital,Sokoban,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Agyei Eli Hospital,Hospital,Sokoban,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Aurora Clinic,Clinic,Dakodwom,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,St. Anthony Homeopathic Clinic,Clinic,Bohyen,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,St. Monica Maternity Hme,Maternity Home,Ampabame,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Amanfrom Clinic,Clinic,Amanfrom,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Santasi Clinic,Clinic,Santasi,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Boampong Hospital,Hospital,Santasi,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Asadu Maternity Home,Maternity Home,Sokoban,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Living Waters Maternity Home,Maternity Home,Odeneho Kwadaso,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Yonkodo Maternity Home,Maternity Home,South Suntreso,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,UEWK Sick Bay,Clinic,Tanoso,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Restoration Clinic,Clinic,,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Calvary Maternity Home,Maternity Home,Nwamasi,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Divine Maternity Home,Maternity Home,Kwadaso Estate,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Kpodo Maternity Home,Maternity Home,Kpodo,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Tiwaa Acupuncture,Clinic,Ohwimase,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Tafo Nhyiaeso Bethel Clinic,Clinic,Tafo Nhyiaeso,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,St. John's Clinic,Clinic,Manhyia Extension,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,New Birth Maternity Home,Maternity Home,Old Tafo,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Neuro-Psych Hospital,Hospital,Pankrono,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Prisons Clinic,Clinic,Adum,Quasi-Government,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Amakom Clinic,Clinic,Amakom,Private,6.415000,-1.375480
Ashanti,Kumasi Metropolitan,Methodist Cathederal Church Clinic,Clinic,Adum,CHAG,6.415000,-1.375480
Ashanti,Sekyere Afram Plains,Jesus Care Voluntary Clinic,Clinic,Besoro,CHAG,7.5090674,-0.823448299999995
Ashanti,Sekyere Afram Plains,Asesewa CHPS,CHPS,Anyinofi,Government,7.5090674,-0.823448299999995
Ashanti,Sekyere Afram Plains,Dawia CHPS,CHPS,Dawia,Government,7.5090674,-0.823448299999995
Ashanti,Sekyere Afram Plains,Funsua CHPS,CHPS,Fusua,Government,7.5090674,-0.823448299999995
Ashanti,Sekyere Afram Plains,Hamidu CHPS,CHPS,Fusua,Government,7.5090674,-0.823448299999995
Ashanti,Bekwai Municipal,Boni Clinic,Clinic,Boni,Government,6.44999999999999,-1.58333330000004
Ashanti,Sekyere Central,Birem Health Centre,Health Centre,Birem,Government,7.2169497,-2.18432849999999
Ashanti,Mampong Municipal,Calvary Health Service,Clinic,,Private,7.033970,-1.242940
Ashanti,Mampong Municipal,Yonso CHPS,CPHS,Yonso,Government,7.033970,-1.242940
Ashanti,Kwabre,Kwabre District Health Directorate,District Health Directorate,Mamponteng,Government,6.778840,-1.545690
Ashanti,Kwabre,Antoa Health Centre,Health Centre,Antoa,Government,6.757480,-1.525740
Ashanti,Kwabre,African Diaspora Clinic & Maternity Home,Clinic,Abirem,Private,6.750530,-1.542240
Ashanti,Afigya-Kwabre,Brofoyedru Health Centre,Health Centre,Brofoyedru,Government,6.472650,-1.373890
Ashanti,Afigya-Kwabre,PACKS Hospital,Hospital,Afrancho,Private,6.472650,-1.373890
Ashanti,Afigya-Kwabre,Hilltop Hospital,Hospital,Buoho,Private,6.472650,-1.373890
Ashanti,Offinso Municipal,Offinso District Health Directorate,District Health Directorate,,Government,6.563090,-1.402680
Ashanti,Offinso Municipal,Anyinasuso SDA Clinc,Clinic,Anyinasuso,CHAG,7.010200,-1.423460
Ashanti,Offinso Municipal,Abofour Health Centre,Health Centre,Abofour,Government,7.074730,-1.435870
Ashanti,Offinso Municipal,Amoawi Community Clinic,Clinic,Amoawi,Private,6.571990,-1.411690
Ashanti,Offinso Municipal,Kwagyekrom CHPS,CHPS,Kokoben,Government,7.021110,-1.463790
Brong Ahafo,Asunafo North Municipal,Ayomso Rural Clinic,Clinic,Ayomso,Government,6.763640,-2.582480
Brong Ahafo,Asunafo North Municipal,Fawohoyeden Clinic,Clinic,Fawohoyeden,Private,6.737500,-2.572820
Brong Ahafo,Asunafo North Municipal,Ayum Forest Clinic,Clinic,Mim,Government,6.906470,-2.564490
Brong Ahafo,Asunafo North Municipal,Agyei Mensah Maternity Home,Maternity Home,Gaoso,Private,6.802050,-2.517380
Brong Ahafo,Asunafo North Municipal,MIM Clinic,Clinic,Mim,Private,6.913610,-2.565030
Brong Ahafo,Asunafo North Municipal,District Assembly Maternity Home,Maternity Home,Mim,Government,6.900400,-2.558900
Brong Ahafo,Asunafo North Municipal,Goaso Hospital,District Hospital,Goaso,Government,6.805700,-2.521810
Brong Ahafo,Asunafo North Municipal,Dankwa Maternity Home,Maternity Home,Kasapin,Private,6.943240,-2.805050
Brong Ahafo,Asunafo North Municipal,Church of Pentecost Clinic,Clinic,Kasapin,CHAG,6.940760,-2.811540
Brong Ahafo,Asunafo North Municipal,Ampenkro Health Centre,Centre,Ampenkro,Government,6.943560,-2.763280
Brong Ahafo,Asunafo North Municipal,Asunafo North District Health Directorate,District Health Directorate,Goaso,Government,6.805700,-2.521810
Brong Ahafo,Asunafo North Municipal,Asumura Rural Clinic,Clinic,Asumura,Government,6.691840,-2.561690
Brong Ahafo,Asunafo North Municipal,Akrodie Health Centre,Health Centre,Akrodie,Government,6.695050,-2.556900
Brong Ahafo,Asunafo South,Kukuom Health Centre,Health Centre,Kukuom,Government,6.696590,-2.438720
Brong Ahafo,Asunafo South,Kwapong Rural Clinic,Clinic,Kwapong,Government,6.622700,-2.475060
Brong Ahafo,Asunafo South,Vic Maternity Home,Maternity Home,Norbeko,Private,6.650700,-2.424450
Brong Ahafo,Asunafo South,Sankore Health Centre,Health Centre,Sankore,Government,6.502850,-2.501700
Brong Ahafo,Asunafo South,Kokooso  Rural Clinic,Clinic,Kokooso,Government,6.643440,-2.586330
Brong Ahafo,Asunafo South,Abuom Rural Clinic,Clinic,Abuom,Government,6.619440,-2.706310
Brong Ahafo,Asunafo South,Asarekrom Rural Clinic,Clinic,Asarekrom,Government,6.575740,-2.639180
Brong Ahafo,Asutifi,Acherensua Health Centre,Health Centre,Acherensua,Government,6.982110,-2.321740
Brong Ahafo,Asutifi,Dadiesoaba Health Centre,Health Centre,Dadiesoaba,Government,6.779320,-2.419970
Brong Ahafo,Asutifi,Sienkyemu Rural Clinic,Clinic,Siekyemu,Government,6.707230,-2.395290
Brong Ahafo,Asutifi,Nyameadom Maternity  Home,Maternity Home,Twabidi No.1,Government,6.832050,-2.362000
Brong Ahafo,Asutifi,Gambia No1 Rural Clinic,Clinic,Gambia  No.1,Government,7.037800,-2.635700
Brong Ahafo,Asutifi,Gyedu Health Center,Health Centre,Gyedu,Government,7.068750,-2.324800
Brong Ahafo,Asutifi,Nkasiem Community Clinic,Clinic,Nkasiem,Government,6.865090,-2.448910
Brong Ahafo,Asutifi,St.Elizabeth Hospital,Hospital,Hwidiem,CHAG,6.932790,-2.358050
Brong Ahafo,Asutifi,St. Elizabeth Maternity Home,Maternity Home,Nkensere,Private,6.993870,-2.536870
Brong Ahafo,Asutifi,Esther Nyarko Maternity Home,Maternity Home,Kenyasi,Private,6.980350,-2.386370
Brong Ahafo,Asutifi,Kenyasi Health Centre,Health Centre,Kenyasi,Government,6.975330,-2.385700
Brong Ahafo,Asutifi,Asutifi District Health Directorate,District Health Directorate,Kenyasi,Government,6.975330,-2.385700
Brong Ahafo,Atebubu-Amanten,Akokoa Health Centre,Health Centre,Akokoa,Government,7.584620,-1.153770
Brong Ahafo,Atebubu-Amanten,Amanteng Health Centre,Health Centre,Amanteng,Government,7.538280,-1.207950
Brong Ahafo,Atebubu-Amanten,Jato Zongo Rural Clinic,Clinic,Jato Zongo,Government,7.653630,-1.064650
Brong Ahafo,Atebubu-Amanten,Atebubu RCH/FP Clinic,Clinic,Atebubu,Government,7.747990,-0.982070
Brong Ahafo,Atebubu-Amanten,Atebubu Government Hospital,District Hospital,Atebubu,Government,7.748070,-0.981970
Brong Ahafo,Atebubu-Amanten,Atebubu-Amanten District Health Directorate,District Health Directorate,Atebubu,Government,7.745570,-0.988770
Brong Ahafo,Berekum Municipal,Christie Maternity Home,Maternity Home,Berekum,Private,7.464820,-2.573230
Brong Ahafo,Berekum Municipal,Aggie Maternity Home,Maternity Home,Berekum,Private,7.457450,-2.586850
Brong Ahafo,Berekum Municipal,Palm Avenue Maternity Home,Maternity Home,Berekum,Private,7.443150,-2.582120
Brong Ahafo,Berekum Municipal,Mpatasei Rural Clinic,Clinic,Mpatasei,Government,7.457000,-2.583380
Brong Ahafo,Berekum Municipal,Philomina Maternity Home,Maternity Home,Berekum,Private,7.457950,-2.600010
Brong Ahafo,Berekum Municipal,Berekum Nurses/Midwifery Training College,Training Institution,Berekum,Government,7.443250,-2.588050
Brong Ahafo,Berekum Municipal,Angels maternity home,Maternity Home,Berekum,Private,7.461910,-2.592540
Brong Ahafo,Berekum Municipal,Koraso Rural Clinic,Clinic,Koraso,Government,7.482480,-2.026940
Brong Ahafo,Berekum Municipal,Akrofro CHPS,CHPS,Akrofro,Private,7.493970,-2.588710
Brong Ahafo,Berekum Municipal,Emi Maternity Home,Maternity Home,Berekum,Private,7.450510,-2.573390
Brong Ahafo,Berekum Municipal,Amomaso Rural Clinic,Clinic,Amomaso,Government,7.373850,-2.659960
Brong Ahafo,Berekum Municipal,Berekum Zongo RCH/FP Clinic,Clinic,Berekum Zongo,Government,7.453710,-2.582840
Brong Ahafo,Berekum Municipal,ABTS Clinic,Clinic,Berekum,Government,7.440340,-2.603470
Brong Ahafo,Berekum Municipal,Bre Nye Kwa Hospital,Hospital,Berekum,Government,7.443720,-2.593250
Brong Ahafo,Berekum Municipal,Holy Family Hospital,Hospital,Berekum,Private,7.443250,-2.588060
Brong Ahafo,Berekum Municipal,Botokrom Rural Clinic,Clinic,Botokrom,Government,7.522800,-2.722490
Brong Ahafo,Berekum Municipal,Jinijini Health Centre,Health Centre,Jinijini,Government,7.446560,-2.646420
Brong Ahafo,Berekum Municipal,Berekum District Health Directorate,District Health Directorate,Berekum,Government,7.444620,-2.579260
Brong Ahafo,Dormaa Municipal,Amasu Rural Clinic,Clinic,Ammasua,Government,7.228020,-2.958070
Brong Ahafo,Dormaa East,Kyeremasu Rural Clinic,Clinic,Kyeremasu,Government,7.263120,-2.761140
Brong Ahafo,Dormaa Municipal,Kwameasua Presby Clinic,Clinic,Kwameasua,Government,7.167150,-2.770100
Brong Ahafo,Dormaa Municipal,Aboabo Presby Clinic,Clinic,Aboabo,CHAG,7.206470,-2.810570
Brong Ahafo,Dormaa Municipal,Asikasu Rural Clinic,Clinic,Asikasu,Government,7.189300,-2.890660
Brong Ahafo,Dormaa Municipal,Danyami Rural Clinic,Clinic,Danyame,Government,7.341720,-2.879200
Brong Ahafo,Dormaa Municipal,Dormaa Presby Hospital,District Hospital,Dormaa,Government,7.275370,-2.868030
Brong Ahafo,Dormaa Municipal,Dormaa PHC Project,Clinic,Dormaa,Government,7.274340,-2.867190
Brong Ahafo,Dormaa Municipal,Ohenewaa Maternity Home,Clinic,Dormaa,Government,7.274350,-2.873380
Brong Ahafo,Dormaa Municipal,Dormaa RCH/FP,RCH,Dormaa,Government,7.272770,-2.870090
Brong Ahafo,Dormaa East,Dormaa Akwamu Health Centre,Health Centre,Dormaa Akwamu,Government,7.317110,-2.737290
Brong Ahafo,Dormaa East,Akontanim Rural Clinic,Clinic,Akontanim,Government,7.308110,-2.718190
Brong Ahafo,Dormaa Municipal,Kofibadukrom Port Health,Health Centre,Kofibadukrom,Government,7.288960,-2.972380
Brong Ahafo,Dormaa Municipal,Kojokumikrom Rural Clinic,Clinic,Kojokumikrom,Government,7.290630,-2.913970
Brong Ahafo,Dormaa Municipal,K/Dwomokrom Rural Clinic,Clinic,Dwomokrom,Government,7.290540,-2.903780
Brong Ahafo,Dormaa Municipal,Dormaa District Health Directorate,District Health Directorate,Dormaa,Government,7.274350,-2.870040
Brong Ahafo,Dormaa Municipal,Kwaben Maternity Home,Maternity Home,Yuwusukrom,Private,7.000920,-3.086200
Brong Ahafo,Dormaa Municipal,Nkrankwanta Health Centre,Health Centre,Nkrankwanta,Government,7.019870,-3.086200
Brong Ahafo,Dormaa Municipal,Ceci Maternity Home,Maternity Home,Nkrankwanta,Government,7.016590,-3.043930
Brong Ahafo,Dormaa East,Wamfie Health Centre,Health Centre,Wamfi,Government,7.305820,-2.737290
Brong Ahafo,Dormaa East,Bishop Mathew Gyamfi's Clinic,Clinic,Wamanafo,CHAG,7.262240,-2.715680
Brong Ahafo,Dormaa East,Racheal Maternity Home,Health Centre,Wamanafo,Private,7.266040,-2.715490
Brong Ahafo,Jaman North,Buni Community Clinic,Clinic,Buni,Government,7.802010,-2.642400
Brong Ahafo,Jaman North,Asiri Rural Clinic,Clinic,Asiri,Government,7.801560,-2.706840
Brong Ahafo,Jaman North,Asuokor Rural Clinic,CHPS,Asuoko.,Government,7.733630,-2.615490
Brong Ahafo,Jaman North,Goka Health Centre,Health Centre,Goka,Government,7.758680,-2.656160
Brong Ahafo,Jaman North,Johnsons Rural Clinic,Clinic,Goka,Quasi-Government,7.765300,-2.655320
Brong Ahafo,Jaman North,Sampa District Hospital,District Hospital,.Sampa,Government,7.950850,-2.695000
Brong Ahafo,Jaman North,Holy Daniel's Clinic,Clinic,Sampa,Government,7.950750,-2.697530
Brong Ahafo,Jaman North,Suma Presby Clinic,Clinic,Suma,CHAG,7.918430,-2.716070
Brong Ahafo,Jaman North,Seketia Rural Clinic,Clinic,Seketia,Government,7.815600,-2.743990
Brong Ahafo,Jaman South,Abirikasu Health Centre,Health Centre,Abirikasu,Government,7.493690,-2.829970
Brong Ahafo,Jaman South,Angel's Maternity Home,Maternity Home,Atuna,Government,7.503350,-2.915040
Brong Ahafo,Jaman South,St. Mary's Hospital,Hospital,Drobo,Private,7.585990,-2.785490
Brong Ahafo,Jaman South,Jejemirija Presby Clinic,Clinic,Jejemiraja,Government,7.633840,-2.726540
Brong Ahafo,Jaman South,Elizabeth Maternity Home,Maternity Home,Dwenem,CHAG,7.682270,-2.784940
Brong Ahafo,Jaman South,Drobo RCH/FP,Clinic,Drobo,Government,7.587200,-2.786570
Brong Ahafo,Jaman South,Dwenem Rural Clinic,Clinic,Dwenem,Government,7.681380,-2.780940
Brong Ahafo,Jaman South,Baano Rural Clinic,Clinic,Baano,Government,7.609770,-2.905410
Brong Ahafo,Jaman South,Vida's Maternity Home,Maternity Home,Kwameseikrom,Private,7.636430,-2.905410
Brong Ahafo,Jaman South,Gonasua Health Centre,Health Centre,Gonasua,Government,7.588360,-2.822080
Brong Ahafo,Jaman South,Zezera Health Centre,Health Centre,Zezera,Private,7.733580,-2.863220
Brong Ahafo,Jaman South,St. Micheal Maternity Home,Maternity Home,Adamsu,Private,7.743650,-2.806230
Brong Ahafo,Jaman South,Adiokor Rural Clinic,Clinic,Adiokor,Private,7.750290,-2.851330
Brong Ahafo,Jaman South,Adamsu Health Centre,Health Centre,Adamsu,Government,7.753300,-2.807120
Brong Ahafo,Jaman South,Bodaa Rural Clinic,Clinic,Bodaa,Government,7.781350,-2.820460
Brong Ahafo,Jaman South,Saviour's Maternity Home,Maternity Home,Kofitiakrom,Private,7.772890,-2.847690
Brong Ahafo,Jaman South,Asare Rural Clinic,Clinic,Asare,Government,7.763070,-2.766070
Brong Ahafo,Jaman North,Jeman North District Health Directorate,District Health Directorate,Sampa,Government,7.950370,-2.695790
Brong Ahafo,Jaman South,Jaman South District Health Directorate,District Health Directorate,Drobo,Government,7.593740,-2.787680
Brong Ahafo,Kintampo North Municipal,Busuama Rural Clinic,Clinic,Busuama,Government,8.232360,-1.855310
Brong Ahafo,Kintampo North Municipal,Dawadawa Health Centre,Health Centre,Dawadawa,Government,8.355290,-1.566450
